physics_step,sim_time_s,phase,label,tcp_x,tcp_y,tcp_z,obj_x,obj_y,obj_z,quat_w,quat_x,quat_y,quat_z,q5_deg,q5_cmd_deg,target_error_m,object_drift_m,object_speed_mps,tilt_deg,upright_z,marker,attach_calls_total,posewrite_calls_total
26,0.26,settle,initial_settle,0.343982,-2e-06,0.341877,0.213863,-0.195729,0.025,1.0,-7e-06,1.6e-05,-0.000168,88.3103,88.31,0.356591,0.012118,0.000658,0.002,1.0,0,0,0
27,0.27,settle,initial_settle,0.343982,-2e-06,0.341875,0.213861,-0.195729,0.025,1.0,-1.1e-05,-1.8e-05,-0.000162,88.3103,88.31,0.356591,0.012118,0.000713,0.0023,1.0,0,0,0
28,0.28,settle,initial_settle,0.343982,-2e-06,0.341874,0.213862,-0.19573,0.025,1.0,1.7e-05,-3e-06,-0.000166,88.3103,88.31,0.35659,0.012118,0.000428,0.002,1.0,0,0,0
29,0.29,settle,initial_settle,0.343982,-2e-06,0.341874,0.213863,-0.195729,0.025,1.0,-5e-06,1.7e-05,-0.000169,88.3103,88.31,0.356589,0.012118,0.000702,0.0021,1.0,0,0,0
30,0.3,approach,approach_open_wp001,0.343889,-0.000726,0.341352,0.213861,-0.195728,0.025,1.0,-1.3e-05,-1.6e-05,-0.000162,88.3102,88.31,0.0071,2e-06,0.000664,0.0024,1.0,0,0,0
31,0.31,approach,approach_open_wp001,0.343565,-0.001359,0.340403,0.213861,-0.19573,0.025,1.0,1.6e-05,-6e-06,-0.000166,88.3102,88.31,0.005939,2e-06,0.000449,0.002,1.0,0,0,0
32,0.32,approach,approach_open_wp001,0.343225,-0.001875,0.339284,0.213863,-0.195729,0.025,1.0,-2e-06,1.9e-05,-0.000169,88.3102,88.31,0.004717,0.0,0.000741,0.0022,1.0,0,0,0
33,0.33,approach,approach_open_wp001,0.342906,-0.002296,0.33835,0.213861,-0.195728,0.025,1.0,-1.6e-05,-1.3e-05,-0.000162,88.3102,88.31,0.00371,2e-06,0.000601,0.0023,1.0,0,0,0
34,0.34,approach,approach_open_wp001,0.342616,-0.002639,0.337586,0.213861,-0.19573,0.025,1.0,1.5e-05,-8e-06,-0.000165,88.3102,88.31,0.002903,2e-06,0.000481,0.002,1.0,0,0,0
35,0.35,approach,approach_open_wp001,0.342359,-0.002919,0.336963,0.213863,-0.195729,0.025,1.0,0.0,1.9e-05,-0.00017,88.3102,88.31,0.002273,0.0,0.000761,0.0022,1.0,0,0,0
36,0.36,approach,approach_open_wp002,0.342602,-0.003969,0.337893,0.213861,-0.195728,0.025,1.0,-1.7e-05,-1e-05,-0.000163,88.3101,88.31,0.010273,2e-06,0.000548,0.0023,1.0,0,0,0
37,0.37,approach,approach_open_wp002,0.342478,-0.004872,0.33847,0.213861,-0.19573,0.025,1.0,1.3e-05,-1.1e-05,-0.000164,88.3101,88.31,0.010319,2e-06,0.000521,0.0019,1.0,0,0,0
38,0.38,approach,approach_open_wp002,0.34211,-0.005605,0.337989,0.213863,-0.195729,0.025,1.0,3e-06,2e-05,-0.00017,88.3101,88.31,0.009519,0.0,0.000773,0.0023,1.0,0,0,0
39,0.39,approach,approach_open_wp002,0.341539,-0.006198,0.336632,0.213862,-0.195728,0.025,1.0,-1.8e-05,-7e-06,-0.000163,88.3101,88.31,0.007957,2e-06,0.000496,0.0023,1.0,0,0,0
40,0.4,approach,approach_open_wp002,0.340954,-0.006679,0.335097,0.213861,-0.19573,0.025,1.0,1.1e-05,-1.2e-05,-0.000164,88.3101,88.31,0.006286,2e-06,0.000568,0.0019,1.0,0,0,0
41,0.41,approach,approach_open_wp002,0.340433,-0.00707,0.333823,0.213863,-0.19573,0.025,1.0,5e-06,1.9e-05,-0.00017,88.3101,88.31,0.0049,0.0,0.000765,0.0023,1.0,0,0,0
42,0.42,approach,approach_open_wp002,0.339974,-0.007388,0.332789,0.213862,-0.195728,0.025,1.0,-1.9e-05,-4e-06,-0.000164,88.3101,88.31,0.003776,2e-06,0.000456,0.0022,1.0,0,0,0
43,0.43,approach,approach_open_wp002,0.339576,-0.007647,0.33195,0.213861,-0.19573,0.025,1.0,9e-06,-1.4e-05,-0.000164,88.3101,88.31,0.002875,2e-06,0.000609,0.0019,1.0,0,0,0
44,0.44,approach,approach_open_wp002,0.339237,-0.007858,0.331269,0.213863,-0.19573,0.025,1.0,7e-06,1.9e-05,-0.00017,88.3101,88.31,0.002168,0.0,0.000744,0.0023,1.0,0,0,0
45,0.45,approach,approach_open_wp003,0.33965,-0.008716,0.331919,0.213862,-0.195728,0.025,1.0,-1.8e-05,-1e-06,-0.000165,88.3101,88.31,0.010121,2e-06,0.000431,0.0021,1.0,0,0,0
46,0.46,approach,approach_open_wp003,0.339622,-0.00945,0.332128,0.213861,-0.19573,0.025,1.0,7e-06,-1.6e-05,-0.000163,88.31,88.31,0.010019,2e-06,0.000654,0.002,1.0,0,0,0
47,0.47,approach,approach_open_wp003,0.339221,-0.010038,0.331369,0.213863,-0.19573,0.025,1.0,1e-05,1.8e-05,-0.000169,88.31,88.31,0.009034,0.0,0.000712,0.0023,1.0,0,0,0
48,0.48,approach,approach_open_wp003,0.338559,-0.010508,0.329912,0.213862,-0.195728,0.025,1.0,-1.8e-05,3e-06,-0.000165,88.31,88.31,0.007402,2e-06,0.000428,0.002,1.0,0,0,0
49,0.49,approach,approach_open_wp003,0.337938,-0.010888,0.328534,0.213861,-0.19573,0.025,1.0,5e-06,-1.7e-05,-0.000163,88.31,88.31,0.005897,2e-06,0.0007,0.0021,1.0,0,0,0
50,0.5,approach,approach_open_wp003,0.337392,-0.011197,0.32741,0.213863,-0.19573,0.025,1.0,1.3e-05,1.6e-05,-0.000169,88.31,88.31,0.004668,0.0,0.000663,0.0024,1.0,0,0,0
51,0.51,approach,approach_open_wp003,0.336917,-0.011447,0.326502,0.213862,-0.195728,0.025,1.0,-1.6e-05,6e-06,-0.000166,88.31,88.31,0.003678,2e-06,0.000445,0.002,1.0,0,0,0
52,0.52,approach,approach_open_wp003,0.33651,-0.01165,0.325766,0.213861,-0.195729,0.025,1.0,3e-06,-1.8e-05,-0.000162,88.31,88.31,0.002892,3e-06,0.000738,0.0021,1.0,0,0,0
53,0.53,approach,approach_open_wp003,0.336164,-0.011816,0.32517,0.213863,-0.19573,0.025,1.0,1.5e-05,1.3e-05,-0.000169,88.31,88.31,0.002284,1e-06,0.000605,0.0023,1.0,0,0,0
54,0.54,approach,approach_open_wp004,0.336737,-0.01272,0.325743,0.213863,-0.195728,0.025,1.0,-1.5e-05,8e-06,-0.000166,88.3099,88.31,0.010148,2e-06,0.00048,0.0019,1.0,0,0,0
55,0.55,approach,approach_open_wp004,0.3368,-0.013492,0.32584,0.213861,-0.195729,0.025,1.0,-0.0,-1.9e-05,-0.000162,88.3099,88.31,0.009986,2e-06,0.000759,0.0022,1.0,0,0,0
56,0.56,approach,approach_open_wp004,0.336369,-0.014103,0.325027,0.213862,-0.19573,0.025,1.0,1.7e-05,1e-05,-0.000168,88.3099,88.31,0.008941,0.0,0.000544,0.0023,1.0,0,0,0
57,0.57,approach,approach_open_wp004,0.335618,-0.014583,0.323607,0.213863,-0.195728,0.025,1.0,-1.3e-05,1.1e-05,-0.000167,88.3099,88.31,0.007305,2e-06,0.000519,0.0019,1.0,0,0,0
58,0.58,approach,approach_open_wp004,0.334931,-0.014972,0.322317,0.213861,-0.195729,0.025,1.0,-3e-06,-1.9e-05,-0.000162,88.3099,88.31,0.005848,2e-06,0.000769,0.0022,1.0,0,0,0
59,0.59,approach,approach_open_wp004,0.334332,-0.015286,0.32127,0.213862,-0.19573,0.025,1.0,1.8e-05,7e-06,-0.000168,88.3099,88.31,0.004662,0.0,0.000491,0.0023,1.0,0,0,0
60,0.6,approach,approach_open_wp004,0.333816,-0.015541,0.320424,0.213863,-0.195728,0.025,1.0,-1.1e-05,1.3e-05,-0.000168,88.3099,88.31,0.003706,2e-06,0.00057,0.0019,1.0,0,0,0
61,0.61,approach,approach_open_wp004,0.333376,-0.015748,0.319741,0.213861,-0.195729,0.025,1.0,-5e-06,-1.9e-05,-0.000162,88.3099,88.31,0.002948,2e-06,0.000766,0.0023,1.0,0,0,0
62,0.62,approach,approach_open_wp004,0.333005,-0.015916,0.319188,0.213862,-0.19573,0.025,1.0,1.9e-05,4e-06,-0.000167,88.3098,88.31,0.002359,1e-06,0.000451,0.0022,1.0,0,0,0
63,0.63,approach,approach_open_wp005,0.333651,-0.016863,0.319151,0.213863,-0.195729,0.025,1.0,-9e-06,1.4e-05,-0.000168,88.3098,88.31,0.009755,2e-06,0.000619,0.0019,1.0,0,0,0
64,0.64,approach,approach_open_wp005,0.33386,-0.017674,0.319152,0.213861,-0.195729,0.025,1.0,-8e-06,-1.8e-05,-0.000162,88.3098,88.31,0.009594,2e-06,0.000737,0.0023,1.0,0,0,0
65,0.65,approach,approach_open_wp005,0.333429,-0.018305,0.318393,0.213862,-0.19573,0.025,1.0,1.8e-05,0.0,-0.000167,88.3098,88.31,0.008596,0.0,0.000429,0.0021,1.0,0,0,0
66,0.66,approach,approach_open_wp005,0.332623,-0.018793,0.317094,0.213863,-0.195729,0.025,1.0,-7e-06,1.6e-05,-0.000169,88.3098,88.31,0.007037,2e-06,0.000668,0.002,1.0,0,0,0
67,0.67,approach,approach_open_wp005,0.331894,-0.019187,0.315937,0.213861,-0.195729,0.025,1.0,-1.1e-05,-1.7e-05,-0.000162,88.3098,88.31,0.005676,2e-06,0.000706,0.0023,1.0,0,0,0
68,0.68,approach,approach_open_wp005,0.331263,-0.019505,0.315,0.213862,-0.19573,0.025,1.0,1.7e-05,-3e-06,-0.000166,88.3097,88.31,0.004567,0.0,0.000429,0.002,1.0,0,0,0
69,0.69,approach,approach_open_wp005,0.330722,-0.019763,0.314243,0.213863,-0.195729,0.025,1.0,-5e-06,1.7e-05,-0.000169,88.3097,88.31,0.003675,2e-06,0.000701,0.0021,1.0,0,0,0
70,0.7,approach,approach_open_wp005,0.330262,-0.019971,0.313631,0.213861,-0.195728,0.025,1.0,-1.4e-05,-1.6e-05,-0.000162,88.3097,88.31,0.002967,2e-06,0.00066,0.0024,1.0,0,0,0
71,0.71,approach,approach_open_wp005,0.329875,-0.020141,0.313136,0.213861,-0.19573,0.025,1.0,1.6e-05,-6e-06,-0.000166,88.3097,88.31,0.002419,1e-06,0.00045,0.002,1.0,0,0,0
72,0.72,approach,approach_open_wp006,0.330484,-0.021085,0.31232,0.213863,-0.195729,0.025,1.0,-2e-06,1.8e-05,-0.000169,88.3098,88.31,0.009173,2e-06,0.00074,0.0021,1.0,0,0,0
73,0.73,approach,approach_open_wp006,0.330824,-0.021901,0.311877,0.213861,-0.195728,0.025,1.0,-1.6e-05,-1.3e-05,-0.000162,88.3097,88.31,0.008832,2e-06,0.000602,0.0023,1.0,0,0,0
74,0.74,approach,approach_open_wp006,0.330426,-0.022524,0.311311,0.213861,-0.19573,0.025,1.0,1.5e-05,-9e-06,-0.000165,88.3097,88.31,0.008005,0.0,0.000484,0.002,1.0,0,0,0
75,0.75,approach,approach_open_wp006,0.32957,-0.022996,0.310255,0.213863,-0.195729,0.025,1.0,0.0,1.9e-05,-0.00017,88.3096,88.31,0.006612,2e-06,0.000761,0.0022,1.0,0,0,0
76,0.76,approach,approach_open_wp006,0.328798,-0.023374,0.309307,0.213861,-0.195728,0.025,1.0,-1.7e-05,-1e-05,-0.000163,88.3096,88.31,0.005393,2e-06,0.000541,0.0023,1.0,0,0,0
77,0.77,approach,approach_open_wp006,0.328133,-0.023679,0.308536,0.213861,-0.19573,0.025,1.0,1.3e-05,-1.1e-05,-0.000164,88.3096,88.31,0.004396,0.0,0.000526,0.0019,1.0,0,0,0
78,0.78,approach,approach_open_wp006,0.327565,-0.023925,0.307911,0.213863,-0.195729,0.025,1.0,3e-06,1.9e-05,-0.00017,88.3096,88.31,0.003589,2e-06,0.000769,0.0022,1.0,0,0,0
79,0.79,approach,approach_open_wp006,0.327084,-0.024124,0.307405,0.213862,-0.195728,0.025,1.0,-1.8e-05,-7e-06,-0.000164,88.3096,88.31,0.002948,2e-06,0.00049,0.0022,1.0,0,0,0
80,0.8,approach,approach_open_wp006,0.32668,-0.024286,0.306995,0.213861,-0.19573,0.025,1.0,1.1e-05,-1.3e-05,-0.000164,88.3096,88.31,0.002448,1e-06,0.000571,0.0019,1.0,0,0,0
81,0.81,approach,approach_open_wp007,0.325762,-0.025137,0.30575,0.213863,-0.19573,0.025,1.0,6e-06,2e-05,-0.00017,88.3096,88.31,0.007863,2e-06,0.000764,0.0023,1.0,0,0,0
82,0.82,approach,approach_open_wp007,0.325016,-0.025882,0.304537,0.213862,-0.195728,0.025,1.0,-1.9e-05,-3e-06,-0.000164,88.3096,88.31,0.006293,2e-06,0.000449,0.0022,1.0,0,0,0
83,0.83,approach,approach_open_wp007,0.324398,-0.026487,0.30355,0.213861,-0.19573,0.025,1.0,9e-06,-1.5e-05,-0.000164,88.3096,88.31,0.005026,0.0,0.000621,0.002,1.0,0,0,0
84,0.84,approach,approach_open_wp007,0.323884,-0.026979,0.302755,0.213863,-0.19573,0.025,1.0,8e-06,1.8e-05,-0.00017,88.3096,88.31,0.004013,2e-06,0.000737,0.0023,1.0,0,0,0
85,0.85,approach,approach_open_wp007,0.323458,-0.027379,0.302113,0.213862,-0.195728,0.025,1.0,-1.8e-05,-0.0,-0.000165,88.3095,88.31,0.00321,2e-06,0.000428,0.0021,1.0,0,0,0
86,0.86,approach,approach_open_wp007,0.323105,-0.027705,0.301595,0.213861,-0.19573,0.025,1.0,7e-06,-1.6e-05,-0.000163,88.3095,88.31,0.002585,0.0,0.000665,0.002,1.0,0,0,0
87,0.87,approach,approach_open_wp007,0.322813,-0.027971,0.301176,0.213863,-0.19573,0.025,1.0,1.1e-05,1.7e-05,-0.00017,88.3095,88.31,0.002111,2e-06,0.000707,0.0023,1.0,0,0,0
88,0.88,approach,approach_open_wp008,0.321984,-0.028907,0.299938,0.213862,-0.195728,0.025,1.0,-1.7e-05,3e-06,-0.000165,88.3095,88.31,0.007815,2e-06,0.000427,0.002,1.0,0,0,0
89,0.89,approach,approach_open_wp008,0.321316,-0.029721,0.298731,0.213861,-0.19573,0.025,1.0,5e-06,-1.7e-05,-0.000163,88.3095,88.31,0.006244,2e-06,0.000699,0.002,1.0,0,0,0
90,0.9,approach,approach_open_wp008,0.320764,-0.030384,0.297748,0.213863,-0.19573,0.025,1.0,1.3e-05,1.6e-05,-0.000169,88.3095,88.31,0.004975,0.0,0.000665,0.0024,1.0,0,0,0
91,0.91,approach,approach_open_wp008,0.320306,-0.030924,0.296954,0.213862,-0.195728,0.025,1.0,-1.6e-05,6e-06,-0.000166,88.3095,88.31,0.003959,2e-06,0.000451,0.002,1.0,0,0,0
92,0.92,approach,approach_open_wp008,0.319928,-0.031363,0.296311,0.213861,-0.195729,0.025,1.0,2e-06,-1.9e-05,-0.000162,88.3095,88.31,0.003152,2e-06,0.000739,0.0022,1.0,0,0,0
93,0.93,approach,approach_open_wp008,0.319615,-0.03172,0.295792,0.213863,-0.19573,0.025,1.0,1.6e-05,1.3e-05,-0.000169,88.3095,88.31,0.002522,0.0,0.000601,0.0023,1.0,0,0,0
94,0.94,approach,approach_open_wp008,0.319357,-0.032012,0.295372,0.213863,-0.195728,0.025,1.0,-1.5e-05,8e-06,-0.000166,88.3094,88.31,0.002042,2e-06,0.000482,0.0019,1.0,0,0,0
95,0.95,approach,approach_open_wp009,0.318548,-0.03297,0.294138,0.213861,-0.195729,0.025,1.0,-0.0,-1.9e-05,-0.000162,88.3095,88.31,0.007822,2e-06,0.00076,0.0022,1.0,0,0,0
96,0.96,approach,approach_open_wp009,0.317897,-0.033803,0.292935,0.213862,-0.19573,0.025,1.0,1.7e-05,1e-05,-0.000169,88.3095,88.31,0.006247,2e-06,0.000549,0.0023,1.0,0,0,0
97,0.97,approach,approach_open_wp009,0.317359,-0.034481,0.291955,0.213863,-0.195728,0.025,1.0,-1.3e-05,1.1e-05,-0.000167,88.3094,88.31,0.004972,0.0,0.000519,0.0019,1.0,0,0,0
98,0.98,approach,approach_open_wp009,0.316913,-0.035033,0.291162,0.213861,-0.195729,0.025,1.0,-3e-06,-1.9e-05,-0.000162,88.3094,88.31,0.003949,2e-06,0.000769,0.0022,1.0,0,0,0
99,0.99,approach,approach_open_wp009,0.316544,-0.035483,0.290521,0.213862,-0.19573,0.025,1.0,1.8e-05,7e-06,-0.000168,88.3094,88.31,0.003133,2e-06,0.000491,0.0023,1.0,0,0,0
100,1.0,approach,approach_open_wp009,0.31624,-0.035849,0.290002,0.213863,-0.195728,0.025,1.0,-1.1e-05,1.3e-05,-0.000168,88.3094,88.31,0.002493,0.0,0.00057,0.0019,1.0,0,0,0
101,1.01,approach,approach_open_wp009,0.315989,-0.036147,0.289582,0.213861,-0.195729,0.025,1.0,-6e-06,-1.9e-05,-0.000162,88.3094,88.31,0.002001,2e-06,0.000766,0.0023,1.0,0,0,0
102,1.02,approach,approach_open_wp010,0.315227,-0.037092,0.288297,0.213862,-0.19573,0.025,1.0,1.9e-05,4e-06,-0.000167,88.3094,88.31,0.007831,2e-06,0.000452,0.0022,1.0,0,0,0
103,1.03,approach,approach_open_wp010,0.314623,-0.037915,0.287029,0.213863,-0.195729,0.025,1.0,-9e-06,1.5e-05,-0.000168,88.3094,88.31,0.006246,2e-06,0.00062,0.002,1.0,0,0,0
104,1.04,approach,approach_open_wp010,0.314123,-0.038586,0.285995,0.213861,-0.195729,0.025,1.0,-8e-06,-1.8e-05,-0.000162,88.3094,88.31,0.004971,0.0,0.000739,0.0023,1.0,0,0,0
105,1.05,approach,approach_open_wp010,0.313709,-0.039131,0.285159,0.213862,-0.19573,0.025,1.0,1.8e-05,0.0,-0.000167,88.3094,88.31,0.003958,2e-06,0.000431,0.0021,1.0,0,0,0
106,1.06,approach,approach_open_wp010,0.313365,-0.039575,0.284483,0.213863,-0.195729,0.025,1.0,-7e-06,1.6e-05,-0.000168,88.3094,88.31,0.003164,2e-06,0.000662,0.002,1.0,0,0,0
107,1.07,approach,approach_open_wp010,0.313082,-0.039937,0.283936,0.213861,-0.195729,0.025,1.0,-1.1e-05,-1.7e-05,-0.000162,88.3094,88.31,0.002556,0.0,0.000709,0.0023,1.0,0,0,0
108,1.08,approach,approach_open_wp010,0.312847,-0.040232,0.283493,0.213862,-0.19573,0.025,1.0,1.7e-05,-3e-06,-0.000166,88.3094,88.31,0.00211,2e-06,0.00043,0.002,1.0,0,0,0
109,1.09,approach,approach_open_wp011,0.312073,-0.041183,0.282249,0.213863,-0.195729,0.025,1.0,-5e-06,1.8e-05,-0.000169,88.3094,88.31,0.007813,2e-06,0.000707,0.0021,1.0,0,0,0
110,1.1,approach,approach_open_wp011,0.31145,-0.042013,0.281034,0.213861,-0.195728,0.025,1.0,-1.3e-05,-1.5e-05,-0.000162,88.3094,88.31,0.006257,2e-06,0.000656,0.0023,1.0,0,0,0
111,1.11,approach,approach_open_wp011,0.310935,-0.042689,0.280044,0.213861,-0.19573,0.025,1.0,1.6e-05,-6e-06,-0.000166,88.3094,88.31,0.005006,0.0,0.000449,0.002,1.0,0,0,0
112,1.12,approach,approach_open_wp011,0.310508,-0.043238,0.279244,0.213863,-0.195729,0.025,1.0,-2e-06,1.9e-05,-0.000169,88.3094,88.31,0.00401,2e-06,0.000744,0.0021,1.0,0,0,0
113,1.13,approach,approach_open_wp011,0.310155,-0.043685,0.278596,0.213861,-0.195728,0.025,1.0,-1.6e-05,-1.3e-05,-0.000162,88.3094,88.31,0.003227,2e-06,0.0006,0.0023,1.0,0,0,0
114,1.14,approach,approach_open_wp011,0.309863,-0.04405,0.278072,0.213861,-0.19573,0.025,1.0,1.5e-05,-8e-06,-0.000165,88.3094,88.31,0.002625,0.0,0.000478,0.002,1.0,0,0,0
115,1.15,approach,approach_open_wp011,0.309623,-0.044347,0.277648,0.213863,-0.195729,0.025,1.0,0.0,1.9e-05,-0.000169,88.3094,88.31,0.002177,2e-06,0.000763,0.0022,1.0,0,0,0
116,1.16,approach,approach_open_wp012,0.30884,-0.045301,0.276426,0.213861,-0.195728,0.025,1.0,-1.7e-05,-1e-05,-0.000163,88.3094,88.31,0.007881,2e-06,0.000545,0.0023,1.0,0,0,0
117,1.17,approach,approach_open_wp012,0.308209,-0.046134,0.275228,0.213861,-0.19573,0.025,1.0,1.3e-05,-1.1e-05,-0.000165,88.3094,88.31,0.006329,2e-06,0.000529,0.0019,1.0,0,0,0
118,1.18,approach,approach_open_wp012,0.307687,-0.046811,0.274253,0.213863,-0.195729,0.025,1.0,3e-06,1.9e-05,-0.00017,88.3094,88.31,0.005079,0.0,0.000771,0.0022,1.0,0,0,0
119,1.19,approach,approach_open_wp012,0.307255,-0.047362,0.273465,0.213862,-0.195728,0.025,1.0,-1.8e-05,-7e-06,-0.000164,88.3094,88.31,0.004082,2e-06,0.000489,0.0022,1.0,0,0,0
120,1.2,approach,approach_open_wp012,0.306898,-0.047811,0.272827,0.213861,-0.19573,0.025,1.0,1.1e-05,-1.3e-05,-0.000164,88.3094,88.31,0.003293,2e-06,0.000574,0.0019,1.0,0,0,0
121,1.21,approach,approach_open_wp012,0.306603,-0.048176,0.272311,0.213863,-0.19573,0.025,1.0,6e-06,1.9e-05,-0.00017,88.3094,88.31,0.002681,0.0,0.000761,0.0023,1.0,0,0,0
122,1.22,approach,approach_open_wp012,0.30636,-0.048474,0.271893,0.213862,-0.195728,0.025,1.0,-1.9e-05,-3e-06,-0.000164,88.3094,88.31,0.002218,2e-06,0.000449,0.0022,1.0,0,0,0
123,1.23,approach,approach_open_wp013,0.305575,-0.049429,0.270677,0.213861,-0.19573,0.025,1.0,9e-06,-1.4e-05,-0.000163,88.3094,88.31,0.007973,2e-06,0.000625,0.0019,1.0,0,0,0
